Frame,keypoint
2.0,"[0.18541666666666667, 0.6847222222222222]"
3.0,"[0.18541666666666667, 0.6847222222222222]"
3.0,"[0.1875, 0.6819444444444445]"
4.0,"[0.18541666666666667, 0.6847222222222222]"
4.0,"[0.1875, 0.6819444444444445]"
4.0,"[0.18958333333333333, 0.6763888888888889]"
5.0,"[0.18541666666666667, 0.6847222222222222]"
5.0,"[0.1875, 0.6819444444444445]"
5.0,"[0.18958333333333333, 0.6763888888888889]"
5.0,"[0.18958333333333333, 0.6666666666666666]"
6.0,"[0.18541666666666667, 0.6847222222222222]"
6.0,"[0.1875, 0.6819444444444445]"
6.0,"[0.18958333333333333, 0.6763888888888889]"
6.0,"[0.18958333333333333, 0.6666666666666666]"
6.0,"[0.19270833333333334, 0.6569444444444444]"
7.0,"[0.18541666666666667, 0.6847222222222222]"
7.0,"[0.1875, 0.6819444444444445]"
7.0,"[0.18958333333333333, 0.6763888888888889]"
7.0,"[0.18958333333333333, 0.6666666666666666]"
7.0,"[0.19270833333333334, 0.6569444444444444]"
7.0,"[0.19583333333333333, 0.6444444444444445]"
8.0,"[0.18541666666666667, 0.6847222222222222]"
8.0,"[0.1875, 0.6819444444444445]"
8.0,"[0.18958333333333333, 0.6763888888888889]"
8.0,"[0.18958333333333333, 0.6666666666666666]"
8.0,"[0.19270833333333334, 0.6569444444444444]"
8.0,"[0.19583333333333333, 0.6444444444444445]"
8.0,"[0.19583333333333333, 0.6263888888888889]"
9.0,"[0.18541666666666667, 0.6847222222222222]"
9.0,"[0.1875, 0.6819444444444445]"
9.0,"[0.18958333333333333, 0.6763888888888889]"
9.0,"[0.18958333333333333, 0.6666666666666666]"
9.0,"[0.19270833333333334, 0.6569444444444444]"
9.0,"[0.19583333333333333, 0.6444444444444445]"
9.0,"[0.19583333333333333, 0.6263888888888889]"
9.0,"[0.19166666666666668, 0.5819444444444445]"
10.0,"[0.18541666666666667, 0.6847222222222222]"
10.0,"[0.1875, 0.6819444444444445]"
10.0,"[0.18958333333333333, 0.6763888888888889]"
10.0,"[0.18958333333333333, 0.6666666666666666]"
10.0,"[0.19270833333333334, 0.6569444444444444]"
10.0,"[0.19583333333333333, 0.6444444444444445]"
10.0,"[0.19583333333333333, 0.6263888888888889]"
10.0,"[0.19166666666666668, 0.5819444444444445]"
10.0,"[0.18333333333333332, 0.5597222222222222]"
11.0,"[0.18541666666666667, 0.6847222222222222]"
11.0,"[0.1875, 0.6819444444444445]"
11.0,"[0.18958333333333333, 0.6763888888888889]"
11.0,"[0.18958333333333333, 0.6666666666666666]"
11.0,"[0.19270833333333334, 0.6569444444444444]"
11.0,"[0.19583333333333333, 0.6444444444444445]"
11.0,"[0.19583333333333333, 0.6263888888888889]"
11.0,"[0.19166666666666668, 0.5819444444444445]"
11.0,"[0.18333333333333332, 0.5597222222222222]"
11.0,"[0.17395833333333333, 0.5430555555555555]"
12.0,"[0.18541666666666667, 0.6847222222222222]"
12.0,"[0.1875, 0.6819444444444445]"
12.0,"[0.18958333333333333, 0.6763888888888889]"
12.0,"[0.18958333333333333, 0.6666666666666666]"
12.0,"[0.19270833333333334, 0.6569444444444444]"
12.0,"[0.19583333333333333, 0.6444444444444445]"
12.0,"[0.19583333333333333, 0.6263888888888889]"
12.0,"[0.19166666666666668, 0.5819444444444445]"
12.0,"[0.18333333333333332, 0.5597222222222222]"
12.0,"[0.17395833333333333, 0.5430555555555555]"
12.0,"[0.16145833333333334, 0.525]"
13.0,"[0.18541666666666667, 0.6847222222222222]"
13.0,"[0.1875, 0.6819444444444445]"
13.0,"[0.18958333333333333, 0.6763888888888889]"
13.0,"[0.18958333333333333, 0.6666666666666666]"
13.0,"[0.19270833333333334, 0.6569444444444444]"
13.0,"[0.19583333333333333, 0.6444444444444445]"
13.0,"[0.19583333333333333, 0.6263888888888889]"
13.0,"[0.19166666666666668, 0.5819444444444445]"
13.0,"[0.18333333333333332, 0.5597222222222222]"
13.0,"[0.17395833333333333, 0.5430555555555555]"
