frame_number,keypoints,elbow_angle,knee_angle
94,"[(np.float32(0.59466463), np.float32(0.3658049)), (np.float32(0.62084544), np.float32(0.36260927)), (np.float32(0.60053974), np.float32(0.35858154)), (np.float32(0.6727654), np.float32(0.38123554)), (np.float32(0.0), np.float32(0.0)), (np.float32(0.6337981), np.float32(0.41781244)), (np.float32(0.6325571), np.float32(0.44906625)), (np.float32(0.4792857), np.float32(0.3354983)), (np.float32(0.59874475), np.float32(0.49343544)), (np.float32(0.4172766), np.float32(0.23864853)), (np.float32(0.52475905), np.float32(0.48952556)), (np.float32(0.6129182), np.float32(0.62980855)), (np.float32(0.6028887), np.float32(0.6345853)), (np.float32(0.6051896), np.float32(0.80171615)), (np.float32(0.6047322), np.float32(0.7852312)), (np.float32(0.6262029), np.float32(0.9337865)), (np.float32(0.6513604), np.float32(0.9114846))]",150.6756,168.3855
95,"[(np.float32(0.5933242), np.float32(0.36806616)), (np.float32(0.618674), np.float32(0.3643844)), (np.float32(0.5992493), np.float32(0.36074382)), (np.float32(0.6735246), np.float32(0.3825094)), (np.float32(0.0), np.float32(0.0)), (np.float32(0.63804406), np.float32(0.42087922)), (np.float32(0.6337401), np.float32(0.45131212)), (np.float32(0.47965258), np.float32(0.34234473)), (np.float32(0.60057), np.float32(0.4998889)), (np.float32(0.41137838), np.float32(0.24304411)), (np.float32(0.5258134), np.float32(0.5008664)), (np.float32(0.6143807), np.float32(0.6329628)), (np.float32(0.6016292), np.float32(0.63721913)), (np.float32(0.60745585), np.float32(0.8034232)), (np.float32(0.60218424), np.float32(0.78561956)), (np.float32(0.6291927), np.float32(0.93397826)), (np.float32(0.6436079), np.float32(0.9098565))]",150.88385,168.22087
96,"[(np.float32(0.5922077), np.float32(0.3685503)), (np.float32(0.61621356), np.float32(0.36474618)), (np.float32(0.0), np.float32(0.0)), (np.float32(0.6709329), np.float32(0.38164392)), (np.float32(0.0), np.float32(0.0)), (np.float32(0.6382384), np.float32(0.41943756)), (np.float32(0.6349688), np.float32(0.4490634)), (np.float32(0.47948748), np.float32(0.34360456)), (np.float32(0.5989853), np.float32(0.4981656)), (np.float32(0.40634233), np.float32(0.24568494)), (np.float32(0.52588874), np.float32(0.50032353)), (np.float32(0.61315954), np.float32(0.6333943)), (np.float32(0.6002776), np.float32(0.63731253)), (np.float32(0.60883045), np.float32(0.80512714)), (np.float32(0.60073495), np.float32(0.78721476)), (np.float32(0.63199514), np.float32(0.9355664)), (np.float32(0.6373868), np.float32(0.91089803))]",152.29253,168.48584
97,"[(np.float32(0.59332734), np.float32(0.3713661)), (np.float32(0.61821526), np.float32(0.36680642)), (np.float32(0.0), np.float32(0.0)), (np.float32(0.674888), np.float32(0.38254687)), (np.float32(0.0), np.float32(0.0)), (np.float32(0.64162743), np.float32(0.42117062)), (np.float32(0.633302), np.float32(0.45024475)), (np.float32(0.48128015), np.float32(0.35093817)), (np.float32(0.5976384), np.float32(0.5037569)), (np.float32(0.40466276), np.float32(0.25324064)), (np.float32(0.5241848), np.float32(0.5040194)), (np.float32(0.6150735), np.float32(0.63353854)), (np.float32(0.5981028), np.float32(0.6372993)), (np.float32(0.61171204), np.float32(0.8049032)), (np.float32(0.59583765), np.float32(0.78720427)), (np.float32(0.6345378), np.float32(0.9345401)), (np.float32(0.6296544), np.float32(0.9105934))]",151.75813,168.89027
98,"[(np.float32(0.59529847), np.float32(0.37171507)), (np.float32(0.62211555), np.float32(0.36577007)), (np.float32(0.5964023), np.float32(0.36313477)), (np.float32(0.68088394), np.float32(0.3820692)), (np.float32(0.0), np.float32(0.0)), (np.float32(0.6478334), np.float32(0.42474213)), (np.float32(0.62444705), np.float32(0.45714945)), (np.float32(0.4827186), np.float32(0.3613867)), (np.float32(0.5988777), np.float32(0.5166507)), (np.float32(0.39358824), np.float32(0.26707613)), (np.float32(0.52725637), np.float32(0.5130503)), (np.float32(0.6203646), np.float32(0.6357512)), (np.float32(0.5935473), np.float32(0.64135534)), (np.float32(0.61558557), np.float32(0.8055698)), (np.float32(0.5952262), np.float32(0.7913476)), (np.float32(0.6361972), np.float32(0.9323658)), (np.float32(0.6284469), np.float32(0.91218394))]",154.37453,169.15489
99,"[(np.float32(0.5956391), np.float32(0.37293017)), (np.float32(0.62474805), np.float32(0.36593017)), (np.float32(0.5923354), np.float32(0.36380625)), (np.float32(0.68663967), np.float32(0.3831839)), (np.float32(0.0), np.float32(0.0)), (np.float32(0.65380603), np.float32(0.4285149)), (np.float32(0.6148511), np.float32(0.46125835)), (np.float32(0.48177636), np.float32(0.37216935)), (np.float32(0.59538853), np.float32(0.5248086)), (np.float32(0.37615207), np.float32(0.27589864)), (np.float32(0.52497005), np.float32(0.51715106)), (np.float32(0.62620026), np.float32(0.6392127)), (np.float32(0.5880041), np.float32(0.6454139)), (np.float32(0.6194167), np.float32(0.8063614)), (np.float32(0.5899256), np.float32(0.7941331)), (np.float32(0.6426553), np.float32(0.93106925)), (np.float32(0.6254826), np.float32(0.91370887))]",155.78792,167.1203
100,"[(np.float32(0.60208195), np.float32(0.37387624)), (np.float32(0.63196015), np.float32(0.36663)), (np.float32(0.59356207), np.float32(0.36425266)), (np.float32(0.6889366), np.float32(0.38392344)), (np.float32(0.0), np.float32(0.0)), (np.float32(0.6587877), np.float32(0.43197164)), (np.float32(0.5989276), np.float32(0.4580136)), (np.float32(0.48095796), np.float32(0.38575196)), (np.float32(0.57822526), np.float32(0.51763815)), (np.float32(0.35124004), np.float32(0.2910529)), (np.float32(0.51400375), np.float32(0.5129601)), (np.float32(0.634152), np.float32(0.6408055)), (np.float32(0.5807429), np.float32(0.6449193)), (np.float32(0.6291359), np.float32(0.8072753)), (np.float32(0.5843971), np.float32(0.7929579)), (np.float32(0.65274596), np.float32(0.93258554)), (np.float32(0.61814666), np.float32(0.91458))]",158.43848,167.60391
101,"[(np.float32(0.60165906), np.float32(0.37633333)), (np.float32(0.6325408), np.float32(0.36723682)), (np.float32(0.5913006), np.float32(0.36558443)), (np.float32(0.6882718), np.float32(0.38169116)), (np.float32(0.0), np.float32(0.0)), (np.float32(0.6639245), np.float32(0.42874345)), (np.float32(0.58459675), np.float32(0.46142787)), (np.float32(0.4862486), np.float32(0.4062751)), (np.float32(0.57714605), np.float32(0.5399003)), (np.float32(0.3298337), np.float32(0.32498816)), (np.float32(0.5088111), np.float32(0.5088618)), (np.float32(0.6424127), np.float32(0.63944054)), (np.float32(0.576137), np.float32(0.6465958)), (np.float32(0.6384067), np.float32(0.80528986)), (np.float32(0.58313495), np.float32(0.7945012)), (np.float32(0.65280336), np.float32(0.9342462)), (np.float32(0.6253566), np.float32(0.9194082))]",159.74683,172.24622
102,"[(np.float32(0.6031851), np.float32(0.3769428)), (np.float32(0.63331884), np.float32(0.3673118)), (np.float32(0.59099746), np.float32(0.365415)), (np.float32(0.6852356), np.float32(0.37964767)), (np.float32(0.0), np.float32(0.0)), (np.float32(0.6613751), np.float32(0.427903)), (np.float32(0.58387077), np.float32(0.45596728)), (np.float32(0.48591843), np.float32(0.4169299)), (np.float32(0.5791496), np.float32(0.5312704)), (np.float32(0.31127742), np.float32(0.35643315)), (np.float32(0.50537336), np.float32(0.5087303)), (np.float32(0.6421417), np.float32(0.63789666)), (np.float32(0.5784568), np.float32(0.6436556)), (np.float32(0.6387787), np.float32(0.8026983)), (np.float32(0.596379), np.float32(0.79254556)), (np.float32(0.6439141), np.float32(0.9383386)), (np.float32(0.63437426), np.float32(0.9252411))]",164.47218,176.66269
103,"[(np.float32(0.59925926), np.float32(0.3761681)), (np.float32(0.62939894), np.float32(0.36723998)), (np.float32(0.5891859), np.float32(0.36501968)), (np.float32(0.6836052), np.float32(0.3809862)), (np.float32(0.0), np.float32(0.0)), (np.float32(0.66926974), np.float32(0.43554243)), (np.float32(0.57844514), np.float32(0.45864326)), (np.float32(0.5030774), np.float32(0.43953353)), (np.float32(0.55214983), np.float32(0.5258701)), (np.float32(0.32871696), np.float32(0.40504313)), (np.float32(0.47355092), np.float32(0.49265862)), (np.float32(0.64059263), np.float32(0.6419256)), (np.float32(0.5704389), np.float32(0.64598453)), (np.float32(0.63020325), np.float32(0.8007509)), (np.float32(0.5891876), np.float32(0.79251766)), (np.float32(0.622566), np.float32(0.9429857)), (np.float32(0.6261789), np.float32(0.93310565))]",167.43503,179.33089
